state;county;current_votes;total_votes;percent
Vermont;Holland;351;338;95
Vermont;Hubbardton;421;436;95
Vermont;Huntington;1401;1388;95
Vermont;Hyde Park;1718;1715;95
Vermont;Ira;258;273;95
Vermont;Irasburg;665;620;95
Vermont;Isle La Motte;349;343;95
Vermont;Barnard;664;637;95
Washington;Adams County;5105;5512;93
Washington;Asotin County;11754;11386;95
Washington;Benton County;101372;92031;95
Washington;Chelan County;42246;38387;95
Washington;Clallam County;48561;45376;95
Washington;Clark County;270703;230184;95
Washington;Columbia County;2387;2598;92
Washington;Cowlitz County;59362;52546;95
Washington;Douglas County;21059;18500;95
Washington;Ferry County;4286;4141;95
Washington;Franklin County;31904;27278;95
Washington;Garfield County;1457;1470;95
Washington;Grant County;37091;32598;95
Washington;Grays Harbor County;37657;32987;95
Washington;Island County;52981;49307;95
Washington;Jefferson County;24348;23317;95
Washington;King County;1189206;1148274;95
Washington;Kitsap County;156439;142965;95
Washington;Kittitas County;25407;21798;95
Washington;Klickitat County;12987;12384;95
Washington;Lewis County;44991;42800;95
Washington;Lincoln County;6898;6753;95
Washington;Mason County;36393;32470;95
Washington;Okanogan County;20559;19655;95
Washington;Pacific County;13934;12323;95
Washington;Pend Oreille County;8381;8400;95
Washington;Pierce County;457897;395000;95
Washington;San Juan County;12890;12390;95
Washington;Skagit County;67845;64363;95
Washington;Skamania County;7051;6115;99
Washington;Snohomish County;432208;393499;95
Washington;Spokane County;291031;261333;95
Washington;Stevens County;26620;26079;95
Washington;Thurston County;163424;148822;95
Washington;Wahkiakum County;2920;2712;95
Washington;Walla Walla County;27964;29232;95
Washington;Whatcom County;136947;126124;95
Washington;Whitman County;18905;19901;95
Washington;Yakima County;94572;89413;95
West Virginia;Barbour County;6552;6659;95
West Virginia;Berkeley County;47897;49100;95
West Virginia;Boone County;8992;8983;99
West Virginia;Braxton County;5545;5599;95
West Virginia;Brooke County;10409;10631;98
West Virginia;Cabell County;36185;36900;95
West Virginia;Calhoun County;2886;2879;95
West Virginia;Clay County;3218;3313;95
West Virginia;Doddridge County;2964;3124;95
West Virginia;Fayette County;16691;16794;99
West Virginia;Gilmer County;2580;2797;92
West Virginia;Grant County;5157;5452;95
West Virginia;Greenbrier County;15724;15374;95
West Virginia;Hampshire County;9827;9872;99
West Virginia;Hancock County;13511;13882;95
West Virginia;Hardy County;6120;6207;95
West Virginia;Harrison County;30068;30559;95
West Virginia;Jackson County;12751;13320;95
West Virginia;Jefferson County;26818;27300;95
West Virginia;Kanawha County;82003;83259;95
West Virginia;Lewis County;7325;7621;95
West Virginia;Lincoln County;7578;7773;95
West Virginia;Logan County;12745;13595;94
West Virginia;McDowell County;6280;6823;92
West Virginia;Marion County;25631;25170;95
West Virginia;Marshall County;13397;14445;93
West Virginia;Mason County;11039;11205;95
West Virginia;Mercer County;24947;25103;99
West Virginia;Mineral County;12589;12720;95
West Virginia;Mingo County;9653;10461;92
West Virginia;Monongalia County;41757;42000;95
West Virginia;Monroe County;6223;6386;95
West Virginia;Morgan County;8347;8365;95
West Virginia;Nicholas County;10517;10440;95
West Virginia;Ohio County;19654;19732;95
West Virginia;Pendleton County;3583;3563;95
West Virginia;Pleasants County;3392;3500;95
West Virginia;Pocahontas County;3851;4011;95
West Virginia;Preston County;14008;14700;95
West Virginia;Putnam County;28370;28410;99
West Virginia;Raleigh County;32191;32371;95
West Virginia;Randolph County;11718;11964;95
West Virginia;Ritchie County;4082;4483;91
West Virginia;Roane County;5660;5772;95
West Virginia;Summers County;5524;5600;95
West Virginia;Taylor County;7146;7146;95
West Virginia;Tucker County;3751;3799;95
West Virginia;Tyler County;3766;4019;94
West Virginia;Upshur County;9930;10140;95
West Virginia;Wayne County;16351;16700;95
West Virginia;Webster County;3339;3276;95
West Virginia;Wetzel County;6553;6892;95
West Virginia;Wirt County;2544;2664;95
West Virginia;Wood County;38077;38487;99
West Virginia;Wyoming County;8320;8614;95
