account.licenseNumber;listing.address.point.lat;listing.address.point.lon;listing.advertiserId;listing.totalAreas
normal;-30.033281;-51.232478;98a34bd3-cd8c-7708-3a9f-ac60a8a6ff2b;90m2
03366-J-MG;-19.999183;-43.898047;82910b54-ad60-d86e-eaf7-35706b752098;85m2
21169-J-SP;-23.526;-46.739727;dd506a96-d73f-8205-4551-d43431ea7793;79m2
normal;-22.953997;-43.191941;bd39fa13-41f0-b450-472a-943b2550d9f1;57m2
21169-J-SP;-23.52091;-46.729287;dd506a96-d73f-8205-4551-d43431ea7793;48m2
03366-J-MG;-19.940664;-43.931626;82910b54-ad60-d86e-eaf7-35706b752098;90m2
13498-J-SP;-23.481203;-46.658018;99176357-bd41-2005-b9c7-7771a15e0ec6;50m2
24344-J-SP;-30.034864;-51.231844;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;43m2
25618-J-SP;-23.544967;-46.689531;882bc971-08c8-7992-fdd0-dccba3f0f23b;68m2
26302-F-RJ;-22.942344;-43.176465;564f99b3-7e73-939b-f456-f9d9ef6bca1a;135m2
26070-J-SP;-22.926522;-47.036551;bc6b89c6-11a6-cefb-47fb-3d3a0a8227a2;77m2
05207-J-RJ;-22.917683;-43.223903;711dcf3d-2130-5041-6cdf-c1371bb4c6a5;normalm2
04269-J-PR;-25.451274;-49.21869;b85b0bc3-1911-9f16-4285-7bfe10106927;64m2
28772-J-SP;-23.589508;-46.685559;3569d4c2-f72b-a126-b01d-b308cf010f1e;208m2
24344-J-SP;-22.958939;-43.198738;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;51m2
24344-J-SP;-23.65504;-46.65848;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;229m2
36701-F-RJ;-22.420329;-42.97757;bf9a5e09-6f2f-d95d-f39c-7159db61ad9d;normalm2
24344-J-SP;-23.614668;-46.747642;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;70m2
normal;-30.033281;-51.232478;98a34bd3-cd8c-7708-3a9f-ac60a8a6ff2b;65m2
24344-J-SP;-23.555594;-46.619823;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;65m2
24344-J-SP;-23.617295;-46.749415;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;55m2
49700-F-RS;-29.908823;-51.165522;cc41129a-909d-b278-3dfe-88ed90bc87c3;61m2
24344-J-SP;-23.503375;-46.510866;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;47m2
028974-J-SP;-24.012745;-46.415955;8d1ff76c-8330-b176-4e08-4debee5431a0;96m2
01397-J-RJ;-22.987248;-43.190107;9eab1b24-b41c-f017-7973-d047ff6e66fc;normalm2
131313-J-SP;-21.21496;-47.822518;8b56e11d-a8e0-e0b9-5853-a613f8f9c674;79m2
131313-J-SP;-23.50712;-47.474451;8b56e11d-a8e0-e0b9-5853-a613f8f9c674;60m2
normal;-30.008462;-51.179494;79f65fa2-3191-ad3b-91c4-d12d3778372c;80m2
00375-J-RJ;-22.967756;-43.186767;f7609504-df80-8ecd-eb53-e41de385ee4a;normalm2
03214-J-MG;-19.939045;-43.919928;85d8b89f-c041-f6b0-ab35-64b18f427c93;63m2
24344-J-SP;-23.58191;-46.634398;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;37m2
111032-F-SP;-22.737889;-47.333691;a67e0421-bc3c-4a7e-1aed-9827181cfe2e;90m2
281160-F-RJ;-22.932764;-43.182977;df757153-f8a5-04b8-1f4b-1076f37150e4;normalm2
24344-J-SP;-22.904186;-43.123039;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;131m2
11774-F-RJ;-22.978355;-43.22925;daed549b-47e8-1658-b11e-40f911844431;normalm2
01372-J-RJ;-22.928981;-43.243279;c8d03e88-9150-507a-8e64-1a83a040cd0c;80m2
31833-J-SP;-23.185708;-46.897806;4fdeffec-ce08-29ba-661b-1c04de7f151f;216m2
18591-J-SP;-23.587608;-46.571069;8610e63d-c7ec-e3ae-b4c5-87307f7482ec;139m2
2095-J-MG;-19.949427;-43.926986;a7393c98-d2d0-9e96-2453-02c9eda261fb;110m2
21169-J-SP;-23.517879;-46.715298;dd506a96-d73f-8205-4551-d43431ea7793;48m2
24344-J-SP;-19.876925;-43.913753;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;95m2
24344-J-SP;-22.909589;-47.046757;a8c36aa5-da1c-0c25-7d28-b5e62fed6a80;89m2
